paper_id,title,domain,mode,task_id_or_doc_id,url
paper_scv_18edc12bd1,Rapid and accurate measurement methods for determining soil hydraulic properties: A review,scientific-ml,sciverse_content_v1,ffd84bdaa32b35595e2d86d2d5e89d79df4e871d6c0bc7ffd58cae58ce162642,https://api.sciverse.space/content?doc_id=ffd84bdaa32b35595e2d86d2d5e89d79df4e871d6c0bc7ffd58cae58ce162642
paper_scv_1c6de1b993,Computational strategies for the design of new enzymatic functions,protein-engineering,sciverse_content_v1,70a0e54dc71463d4b09b6a559300f94d86208eb165238d0d3c27011848dd28cb,https://api.sciverse.space/content?doc_id=70a0e54dc71463d4b09b6a559300f94d86208eb165238d0d3c27011848dd28cb
paper_scv_1c843475bb,Design and engineering of artificial oxygen-activating metalloenzymes,protein-engineering,sciverse_content_v1,60fd478a8c69a5903d8884ffb1c331d522d47e5ae5e8d0d24329ac27067b508f,https://api.sciverse.space/content?doc_id=60fd478a8c69a5903d8884ffb1c331d522d47e5ae5e8d0d24329ac27067b508f
paper_scv_1d855dba1d,Prediction of organic homolytic bond dissociation enthalpies at near chemical accuracy with sub-second computational cost,computational-chemistry,sciverse_content_v1,40b4ff5bf8549fd873db75b66809d65c302a3f5ba0fab4e8e121918422032d0a,https://api.sciverse.space/content?doc_id=40b4ff5bf8549fd873db75b66809d65c302a3f5ba0fab4e8e121918422032d0a
paper_scv_1dba5f1602,Highly efficient editing of the β-globin gene in patient-derived hematopoietic stem and progenitor cells to treat sickle cell disease,computational-biology,sciverse_content_v1,0b63b9543383b4609c98e5810b65a640f2eced33b08dc62649d557aaa298103e,https://api.sciverse.space/content?doc_id=0b63b9543383b4609c98e5810b65a640f2eced33b08dc62649d557aaa298103e
paper_scv_22072023e3,A genome-wide analysis of Cas9 binding specificity using ChIP-seq and targeted sequence capture,computational-biology,sciverse_content_v1,eace824ac66189c9f4a1d7663c95c0352ab3b45316a61027ec439b937166e435,https://api.sciverse.space/content?doc_id=eace824ac66189c9f4a1d7663c95c0352ab3b45316a61027ec439b937166e435
paper_scv_24aefa072b,"Solar energetic particle catalogs: Assumptions, uncertainties and validity of reports",plasma-physics,sciverse_content_v1,020ac57eae21c19db842adb1ee9f7c820de9454f35f173cf2d0202ee5f3f4fd6,https://api.sciverse.space/content?doc_id=020ac57eae21c19db842adb1ee9f7c820de9454f35f173cf2d0202ee5f3f4fd6
paper_scv_26451f5b50,Estimation of north Tabriz fault parameters using neural networks and 3D tropospherically corrected surface displacement field,earth-science,sciverse_content_v1,c85b83a669ab24d2a08efc0c4c25adb49c4bc82c9b948a9c330e58def35b46f1,https://api.sciverse.space/content?doc_id=c85b83a669ab24d2a08efc0c4c25adb49c4bc82c9b948a9c330e58def35b46f1
paper_scv_292da91711,Substituting random forest for multiple linear regression improves binding affinity prediction of scoring functions: Cyscore as a case study,drug-discovery,sciverse_content_v1,d5458b49f62e025989ea577acd976a248231b5028a438d2c7a990d8134a6c14a,https://api.sciverse.space/content?doc_id=d5458b49f62e025989ea577acd976a248231b5028a438d2c7a990d8134a6c14a
paper_scv_2cf423e975,Efficient Neural Network Approaches for Conditional Optimal Transport with Applications in Bayesian Inference,earth-science,sciverse_content_v1,28c73dfd85d1eb0c47853385f67965370f39dc28cf66f81b249bdcb022d92356,https://api.sciverse.space/content?doc_id=28c73dfd85d1eb0c47853385f67965370f39dc28cf66f81b249bdcb022d92356
